Deposit Name,Longitude,Latitude,Commodity Group
Jimblebar ,120.13906,-23.37926,Iron ore
Jundee ,120.6041,-26.3725,Gold
Kalgoorlie (Super Pit),121.505,-30.7781,Gold
Kanmantoo,139.0054,-35.0919,Base metals
Kanowna Belle,121.5761,-30.6101,Gold
Kara,145.77201,-41.31,Iron ore
Karara,116.8005,-29.16019,Iron ore
Karari,122.3595,-30.1595,Gold
Kestrel,148.37031,-23.24197,Coal
Keysbrook,115.9388,-32.46423,Mineral sands
King of the Hills ,121.163,-28.6715,Gold
Kings,117.5217,-22.17611,Iron ore
Kogan Creek,150.77263,-26.89572,Coal
Koolan Island,123.74018,-16.12754,Iron ore
Koolyanobbing,119.538,-30.8336,Iron ore
Kundana,121.22969,-30.71242,Gold
Lady Annie,139.04402,-19.77305,Base metals
Lady Loretta,139.07019,-19.76859,Base metals
Lake Vermont,148.43851,-22.399,Coal
Liddell,150.99988,-32.3916,Coal
Lorena,140.6487,-20.7187,Gold
Loy Yang,146.564,-38.2347,Coal
Maddingley,144.44016,-37.70429,Coal
Mandalong,151.44998,-33.12684,Coal
Mangoola,150.66999,-32.29684,Coal
Marandoo,118.13856,-22.6381,Iron ore
Matilda,120.2149,-26.7575,Gold
Maules Creek,150.15423,-30.54512,Coal
Maxwells  ,122.1989,-31.0809,Gold
Maxwells - Inglewood,143.868,-36.552,Gold
McArthur River,136.0985,-16.436,Base metals
Meekatharra,118.5139,-26.59101,Gold
Merlin,136.34511,-16.84795,Diamond
Metropolitan,150.99657,-34.18491,Coal
Middleback Ranges ,137.156,-32.998,Iron ore
Middlemount,148.63163,-22.84813,Coal
Millennium,148.213,-22.025,Coal
Mineral Hill,146.987,-32.577,Base metals
Minerva,148.04714,-23.92138,Coal
Mining Area C ,118.96431,-22.92817,Iron ore
Moolarben,149.785,-32.29,Coal
Moorvale,148.35358,-21.99552,Coal
Moranbah North,147.95674,-21.87133,Coal
Morning Star ,146.2456,-37.5686,Gold
Mount Arthur,150.85614,-32.33702,Coal
Mount Carlton,147.5619,-20.2716,Base metals
Mount Colin,140.0445,-20.7759,Base metals
Mount Garnet,145.1126,-17.6849,Base metals
Mount Gordon,139.36316,-19.69493,Base metals
Mount Isa ,139.47835,-20.74339,Base metals
Mount Keith,120.54174,-27.2296,Base metals
Mount Magnet,117.81412,-28.02897,Gold
Mount Margaret,140.7829,-20.4424,Base metals
Mount Margaret ,117.81412,-28.02897,Gold
Mount Martin ,121.6825,-31.0128,Gold
Mount Morgans,122.0772,-28.765,Gold
Mount Newman ,119.67779,-23.35574,Iron ore
Mount Owen ,151.09998,-32.38684,Coal
Mount Pleasant ,150.83998,-32.23684,Coal
Mount Rawdon,151.7641,-25.2713,Gold
Mount Thorley,151.10862,-32.63741,Coal
Mount Tom Price,117.7714,-22.7635,Iron ore
